###############################################################################
# sdi.txt
# This file was auto-generated by cryptotvgen v1.0.0
###############################################################################
# Parameter:
#
# add_partial            - False
# algorithm_class_paths  - ['/home/rprimas/Documents/vivado/software/prepare_src/libs/crypto_aead/ascon128av12--ref.so', '/home/rprimas/Documents/vivado/software/prepare_src/libs/crypto_hash/asconhashv12--ref.so']
# block_size             - 128
# block_size_ad          - 128
# cc_hls                 - False
# cc_pad_ad              - 0
# cc_pad_d               - 0
# cc_pad_enable          - False
# cc_pad_style           - 1
# ciph_exp               - False
# ciph_exp_noext         - False
# gen_custom_mode        - 0
# io (W,SW)              - [8, 8]
# key_size               - 128
# max_ad                 - 32
# max_block_per_sgmt     - 9999
# max_d                  - 32
# max_io_per_line        - 8
# message_digest_size    - 256
# min_ad                 - 0
# min_d                  - 0
# msg_format             - ['npub', 'ad', 'data', 'tag']
# npub_size              - 128
# nsec_size              - 0
# offline                - False
# tag_size               - 128
###############################################################################

#### MsgID=  1, KeyID=  1
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 4A17BD484C8B180E
DAT = 782EAAE2C02B9158

#### MsgID=  2, KeyID=  2
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 27A695E2F069A40A
DAT = A2F1A94466911EA5

#### MsgID=  3, KeyID=  3
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = AACE3D01A0653AA2
DAT = D8A41B79E1994D5E

#### MsgID=  4, KeyID=  4
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = B334F77CBE6287CA
DAT = BC6AF7D4AC4A9EDE

#### MsgID=  5, KeyID=  5
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = D632C44D78F06818
DAT = CE1B12A6E4027CBF

#### MsgID=  6, KeyID=  6
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 1FB03FB523D3432C
DAT = B4AAE11B38A9BD19

#### MsgID=  7, KeyID=  7
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 43232B84FF08BF70
DAT = 497FF39B79036673

#### MsgID=  8, KeyID=  8
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 37EA9A3A7D470B1B
DAT = 950BF18E345FB970

#### MsgID=  9, KeyID=  9
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 01E3C46BAA16209A
DAT = 41617B59A3ACF2FA

#### MsgID= 10, KeyID= 10
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = DC563F35EF943A58
DAT = D81041703CBE41FE

#### MsgID= 11, KeyID= 11
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = EB147D92DD454E5E
DAT = 0E9654EADB26962D

#### MsgID= 12, KeyID= 12
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = F37DEDF571650820
DAT = C382C8C2D1AC8DAA

#### MsgID= 13, KeyID= 13
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = C30B18D519A15DA5
DAT = 57ABC61BC718B0EC

#### MsgID= 14, KeyID= 14
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 8D6284AC3176793E
DAT = D48048131EBC9491

#### MsgID= 15, KeyID= 15
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 8F744AF014497A9F
DAT = 6B0721044108C0CC

#### MsgID= 16, KeyID= 16
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 110FE5B8E93DCC5F
DAT = C85DE82A3BC36AE1

#### MsgID= 17, KeyID= 17
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 08E057BDB17E923D
DAT = B2F93382CFF7B6E2

#### MsgID= 18, KeyID= 18
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 13955C2A0C05A4EA
DAT = 56A4682AB928A5B7

#### MsgID= 19, KeyID= 19
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = B42BF3AE94DA466A
DAT = 2118C888DBD12E6D

#### MsgID= 20, KeyID= 20
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = D60B9E5C4DBFA2E7
DAT = 193C059CF87D6A4A

#### MsgID= 21, KeyID= 21
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = AADC2007F51FBB28
DAT = 5E7AA6C0CC2136F6

#### MsgID= 22, KeyID= 22
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = DE3542A7A1E0ACDE
DAT = C38F8BD956F691F5

#### MsgID= 23, KeyID= 23
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = C4F9C1F7FB83D34E
DAT = B15B384A6D44C1E3

#### MsgID= 24, KeyID= 24
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 4AD254F616F917DE
DAT = 9935B3DC029AF4F1

#### MsgID= 25, KeyID= 25
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 4AA15B2AE0D9A99F
DAT = 5188A7CFADDA9F05

#### MsgID= 26, KeyID= 26
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 96A6FFB503C65529
DAT = 513F192A857DFE20

#### MsgID= 27, KeyID= 27
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 26D4451E34325571
DAT = A76C06704865C2CB

#### MsgID= 28, KeyID= 28
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 0661B479B6A10CFB
DAT = 81C8F5197035C4E4

#### MsgID= 29, KeyID= 29
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = BEFCF6E0B33B3C93
DAT = 076A7E195608C1AC

#### MsgID= 30, KeyID= 30
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = EE21CB955A2F33A8
DAT = D66BFB86B521C650

#### MsgID= 31, KeyID= 31
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = F0E4C1D7D230FA5B
DAT = D0382F6F68B492C4

#### MsgID= 32, KeyID= 32
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 96A4960C007DA9CB
DAT = DBEC2C8BE3B10799

#### MsgID= 33, KeyID= 33
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = B2C3631FD104BF29
DAT = F2BB401E7039E5DB

#### MsgID= 34, KeyID= 34
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = D493857F9DDA2F40
DAT = 8ACC22CC576722FE

#### MsgID= 35, KeyID= 35
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 307516DFF27FCBB1
DAT = FFCAAA04E74D2696

#### MsgID= 36, KeyID= 36
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 548D64ED7A239A0C
DAT = D562444A88709E10

#### MsgID= 37, KeyID= 37
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = FD4A4BB79B17A53E
DAT = 1D49BDB122C109A8

#### MsgID= 38, KeyID= 38
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 9D113E17DC0DDB82
DAT = E61DD38E1F12F580

#### MsgID= 39, KeyID= 39
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 716F8686DB95DBCE
DAT = 4333BC8F29DE0361

#### MsgID= 40, KeyID= 40
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 4FDDBE781BBA3A58
DAT = 5748C125EE93EE38

#### MsgID= 41, KeyID= 41
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = E77AA49C6784B4FE
DAT = F70B5CB00A15FD28

#### MsgID= 42, KeyID= 42
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 19FA12F5A6C3E6D0
DAT = F2DEE1BC9A8F9E2B

#### MsgID= 43, KeyID= 43
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = ACD47CDA70A5FF80
DAT = EC0DD336DF1E14BE

#### MsgID= 44, KeyID= 44
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = E7B5833E3A190899
DAT = 2559FA76CADB8034

#### MsgID= 45, KeyID= 45
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 6B4A45FC2973BC10
DAT = 57CD4C5ABDE412E4

#### MsgID= 46, KeyID= 46
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 4B59D963E3E079BF
DAT = 605ED4385AE351CC

#### MsgID= 47, KeyID= 47
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = 8D1116AB78239F55
DAT = 2F1D4067488DD8AC

#### MsgID= 48, KeyID= 48
# Instruction: Opcode=Load Key
INS = 40
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C7000010
DAT = A4A939D1C38A3511
DAT = CF5E5CCC332D5560

